RBCRWAJ,ROA,REPDTE,ROE,ASSET,STNAME,CERT,NETINC,LNLSNET,LNLSDEPR,DEP,EQTOT,ID
13.260058803157065,1.3254899451387707,20191231,8.27,28816687,OREGON,17266,370866.0,21551426,95.30558409988815,22612973,4590888.0,17266_20191231
12.19548715782588,1.548544912512537,20191231,9.36,27665771,TENNESSEE,35583,408336.0,19792504,97.16162920272745,20370700,4653433.0,35583_20191231
11.90582243361405,1.9967777459318992,20191231,17.9,26862673,ARIZONA,57512,501262.0,20955499,90.77140777838079,23086013,3021661.0,57512_20191231
11.742353263384038,1.8541551080201886,20191231,9.53,26732400,CALIFORNIA,24045,488310.0,18707031,96.7000459695346,19345421,5236693.0,24045_20191231
12.17877181904063,0.7277519681256098,20191231,7.49,26708543,NEW JERSEY,28892,194072.0,21511168,118.1990822732488,18199099,2265690.0,28892_20191231
14.535393241307858,1.6363806657447486,20191231,19.11,26468603,FLORIDA,33893,418610.0,21296241,92.03631278940644,23138955,2299841.0,33893_20191231
11.912768934853036,1.0937027390316232,20191231,12.2,26357635,MISSOURI,8273,263715.0,13337696,61.28956777968265,21761772,2338719.0,8273_20191231
13.191560733336482,1.631271103966786,20191231,15.24,25955469,MISSOURI,24998,416695.0,14590944,70.02998759795884,20835280,2688181.0,24998_20191231
15.569522987584469,1.846682953206728,20191231,10.71,23559400,ARKANSAS,110,425906.0,17423518,94.31240516872693,18474259,4153468.0,110_20191231
11.729076815231819,1.1681306313637918,20191231,12.47,23234514,MICHIGAN,32541,241145.0,18015774,113.00410981081296,15942583,2023560.0,32541_20191231
15.458084241984462,1.45856797154448,20191231,16.98,22986309,OKLAHOMA,4063,295300.0,16179108,130.3074773634654,12416101,1835506.0,4063_20191231
12.659635041744425,1.375401708581385,20191231,13.17,22555038,NEBRASKA,5452,300537.0,16157538,88.20258591959775,18318667,2364331.0,5452_20191231
12.074280786727863,1.1338512486496097,20191231,9.67,21759565,PENNSYLVANIA,7551,241896.0,16728365,96.00141152510592,17425124,2599507.0,7551_20191231
14.173677606962068,1.2176770270859885,20191231,9.81,21061188,MISSISSIPPI,11813,234261.0,14184320,87.17084208489219,16271863,2685017.0,11813_20191231
13.501205151209541,1.2709512637023443,20191231,8.82,20311535,INDIANA,3832,254947.0,12109834,82.94820454060996,14599272,2966576.0,3832_20191231
12.652205887876125,1.4139948332566312,20191231,11.11,20167600,HAWAII,17985,289680.0,13082024,79.43207325467132,16469448,2617949.0,17985_20191231
16.688329754377516,1.5650692356445155,20191231,18.05,19904290,COLORADO,18714,301019.0,11409222,63.366454421777775,18005145,1711615.0,18714_20191231
13.993323723037474,1.3683580938974593,20191231,7.65,19644548,VIRGINIA,22858,268557.0,14022586,100.30637875985666,13979755,3519775.0,22858_20191231
12.083812100723096,0.8693960026100616,20191231,7.56,19445554,ARKANSAS,8728,166126.0,13122182,79.44844580603755,16516600,2257810.0,8728_20191231
12.14741162720424,1.31930601019009,20191231,9.21,18156981,GEORGIA,20504,186187.0,14436998,102.16968180618642,14130413,2609465.0,20504_20191231
13.809099943106991,1.6237040811944874,20191231,12.19,18066529,CALIFORNIA,18503,284052.0,14998867,101.8553539285929,14725654,2365206.0,18503_20191231
12.867621193862522,1.2919203361106504,20191231,18.67,18065971,HAWAII,18053,227134.0,10919927,69.01937725649681,15821538,1229775.0,18053_20191231
26.278262322175316,1.5854740039071928,20191231,10.25,17800452,DELAWARE,33947,288189.0,10242102,73.07662587986998,14015565,2950573.0,33947_20191231
13.55734879585984,1.3508531191560162,20191231,9.43,17778013,GEORGIA,4999,224942.0,12951661,87.45763153645917,14809069,2628739.0,4999_20191231
11.276433007816838,1.3443999223916723,20191231,10.12,17757753,ILLINOIS,3709,226417.0,12768340,94.56176919410974,13502645,2318575.0,3709_20191231
12.87278523211802,1.5075817556654632,20191231,9.9,17659319,ARKANSAS,3890,258903.0,12683615,96.57684686363946,13133184,2815420.0,3890_20191231
12.483643799344508,1.285953412132876,20191231,8.03,17516056,VIRGINIA,34589,212538.0,12624047,94.80102709741797,13316361,2775889.0,34589_20191231
13.670706592131076,0.5458251547494258,20191231,4.02,17204194,CALIFORNIA,1768,57727.0,10129085,69.40639766894036,14593878,2297961.0,1768_20191231
12.18075406765041,1.5068767506411285,20191231,8.94,17136249,FLORIDA,33555,230486.0,12086023,91.94056448630153,13145474,2967040.0,33555_20191231
20.682870938339914,0.35738896872156983,20191231,3.08,16424675,ILLINOIS,34617,58568.0,9765018,86.98494695531423,11226101,1943311.0,34617_20191231
15.037516354273556,1.3621336446284467,20191231,11.24,16420261,WASHINGTON,28088,223345.0,11907059,98.9216784616912,12036855,2003405.0,28088_20191231
22.5722443964468,2.1499499113082585,20191231,21.77,16012936,NEVADA,27389,304645.0,11643442,168.38482664888448,6914781,1524418.0,27389_20191231
12.599574594448068,1.2559348595565376,20191231,7.9,15917423,SOUTH CAROLINA,13425,194474.0,11372476,93.22643837692777,12198767,2463903.0,13425_20191231
14.282820540024623,1.0798185172932224,20191231,9.04,15841001,FLORIDA,20234,162513.0,10923656,92.15409385351475,11853685,1891438.0,20234_20191231
