ACTIVE,ROA,REPDTE,ROE,ASSET,state,INTINC,LNCI,NONIX,NETINC,LNLSDEPR,DEP,SC,LNCON,city,RBCRWAJ,LNRE,cert_id,NONII,LNLSNET,EQTOT,ID,loan_to_deposit_ratio,capital_adequacy_ratio,npl_ratio,cost_to_income_ratio,net_interest_margin,risk_tier,size_bucket
1,-0.23281648300033006,20231231,-3.18,300440,ARKANSAS,9767.0,32184,11769.0,-687.0,44.429909195186234,260669,160686,3801.0,LITTLE ROCK,14.978685008892143,82031,91280,4657.0,115815,21436.0,91280_20231231,44.429909195186234,14.978685008892143,0.03836282795422547,81.59317803660566,3.250898681933165,MEDIUM,Community ($100M-$1B)
1,-0.05552998351495429,20231231,-0.6,300333,NEW HAMPSHIRE,9562.0,11200,7701.0,-166.0,63.372305722386514,262408,92313,5939.0,ROCHESTER,17.465163376960977,149453,28155,672.0,166294,27418.0,28155_20231231,63.372305722386514,17.465163376960977,0.0381085942501753,75.24916943521595,3.1837993160924705,MEDIUM,Community ($100M-$1B)
1,0.25126616445082234,20231231,1.76,300272,NEW JERSEY,10507.0,1328,5446.0,741.0,92.07170805309055,195515,81044,12.0,FREEHOLD,22.487448382401,180423,30519,371.0,180014,43385.0,30519_20231231,92.07170805309055,22.487448382401,0.05114697082065315,50.06435006435006,3.499160760910108,MEDIUM,Community ($100M-$1B)
1,1.2146447360167563,20231231,10.94,299934,KENTUCKY,15238.0,37412,6298.0,3563.0,83.84593868194146,246681,65685,12545.0,ARLINGTON,0.0,149345,16852,821.0,206832,34646.0,16852_20231231,83.84593868194146,0.0,0.040538184943307354,39.2178840525562,5.080451032560497,MEDIUM,Community ($100M-$1B)
1,1.7579650276377434,20231231,17.75,299897,ILLINOIS,12749.0,30940,6003.0,5191.0,86.32308141406128,267202,35373,9930.0,PANA,0.0,173878,3720,1537.0,230657,31224.0,3720_20231231,86.32308141406128,0.0,0.037424869574329535,42.020159596808064,4.251126220002201,MEDIUM,Community ($100M-$1B)
1,2.3085799514414322,20231231,21.32,299466,TEXAS,17290.0,70857,5210.0,6538.0,66.23768055092164,266753,75445,1190.0,FARWELL,0.0,78567,11907,1228.0,176691,32276.0,11907_20231231,66.23768055092164,0.0,0.03748786330425524,28.134787774057674,5.7736103597737305,MEDIUM,Community ($100M-$1B)
1,1.1175427443370027,20231231,16.8,299450,TEXAS,12436.0,7644,7316.0,3340.0,60.23420546206445,268653,111069,6439.0,LLANO,0.0,146801,24305,1477.0,161821,21960.0,24305_20231231,60.23420546206445,0.0,0.037222737136752615,52.58391432473226,4.1529470696276505,MEDIUM,Community ($100M-$1B)
1,0.0,20231231,,299379,,,0,,,27.09623453542181,74121,4753,,BUENOS AIRES,0.0,0,25927,,20084,,25927_20231231,27.09623453542181,0.0,0.1349145316442034,,,MEDIUM,Community ($100M-$1B)
1,0.5700374681921097,20231231,7.74,299191,OHIO,13071.0,23792,8012.0,1707.0,71.59730935043717,255849,90096,4856.0,BELLEVUE,0.0,152775,6528,1301.0,183181,23894.0,6528_20231231,71.59730935043717,0.0,0.039085554369960404,55.74728639020318,4.368781146491705,MEDIUM,Community ($100M-$1B)
1,0.9874883743967069,20231231,12.98,298735,ILLINOIS,11964.0,18054,7801.0,2871.0,76.09214167231444,267067,60447,18798.0,VIRGINIA,0.0,135517,10829,1960.0,203217,22457.0,10829_20231231,76.09214167231444,0.0,0.03744378751399462,56.025567365699516,4.004887274674879,MEDIUM,Community ($100M-$1B)
1,1.008516049584737,20231231,14.09,298630,ILLINOIS,11741.0,26014,6847.0,2909.0,60.17854210974459,261899,119145,4078.0,AVON,14.709612924724016,84623,10849,1133.0,157607,23423.0,10849_20231231,60.17854210974459,14.709612924724016,0.038182658200298585,53.18471337579618,3.9316210695509493,LOW,Community ($100M-$1B)
1,0.16040599263280603,20231231,1.98,298594,ALABAMA,11912.0,22141,9154.0,475.0,50.08608764752627,271816,115389,4759.0,PIEDMONT,17.608987320244147,110578,1735,1339.0,136142,24804.0,1735_20231231,50.08608764752627,17.608987320244147,0.036789592959943496,69.08157874877368,3.989363483526126,LOW,Community ($100M-$1B)
1,0.9623398023199311,20231231,13.39,298263,TENNESSEE,14857.0,10370,7913.0,2836.0,82.79402589600005,259654,57643,1185.0,OAK RIDGE,12.654618826212827,205646,34023,712.0,214978,23306.0,34023_20231231,82.79402589600005,12.654618826212827,0.038512790097591405,50.825358083370794,4.981174332719781,LOW,Community ($100M-$1B)
1,1.3539717929661805,20231231,11.78,298134,KANSAS,15004.0,30487,7105.0,3804.0,59.58241943003003,261698,116471,4150.0,LAKIN,0.0,101181,15194,1596.0,155926,34452.0,15194_20231231,59.58241943003003,0.0,0.03821198480691484,42.80120481927711,5.032636331314107,MEDIUM,Community ($100M-$1B)
1,0.5933885724149837,20231231,6.17,297999,FLORIDA,15603.0,15977,7792.0,1705.0,106.04721395151,235100,21259,4099.0,TAMPA,0.0,231533,58377,1107.0,249317,28591.0,58377_20231231,106.04721395151,0.0,0.04253509145044662,46.63076002393776,5.2359236104819145,MEDIUM,Community ($100M-$1B)
1,0.7347487159391488,20231231,9.73,297864,SOUTH DAKOTA,13701.0,29661,6815.0,1995.0,102.83345453278699,229649,35223,3962.0,ELKTON,10.879563409105913,174731,496,720.0,236156,22013.0,496_20231231,102.83345453278699,10.879563409105913,0.04354471388945739,47.2574717425976,4.599750221577633,LOW,Community ($100M-$1B)
1,1.3470897437013594,20231231,19.46,297576,OKLAHOMA,13680.0,22802,9716.0,4023.0,62.00401963436787,258730,103111,7596.0,ADA,15.95515566297351,129938,19679,3086.0,160423,22510.0,19679_20231231,62.00401963436787,15.95515566297351,0.038650330460325434,57.95061433854228,4.597144931042826,LOW,Community ($100M-$1B)
1,1.4200122934055284,20231231,14.57,297286,LOUISIANA,18865.0,23389,11793.0,3895.0,89.25560600660168,258116,130,2546.0,COVINGTON,0.0,207271,19234,2766.0,230383,29214.0,19234_20231231,89.25560600660168,0.0,0.03874227091695207,54.518977393555545,6.345741138163251,MEDIUM,Community ($100M-$1B)
1,0.9306708542534445,20231231,14.27,297261,TEXAS,10112.0,11137,6148.0,2872.0,40.16891164088202,273871,167122,4777.0,BURNET,0.0,91912,11557,667.0,110011,23047.0,11557_20231231,40.16891164088202,0.0,0.03651354104669717,57.036830874849244,3.4017244105348494,MEDIUM,Community ($100M-$1B)
1,1.3756533065141046,20231231,11.7,297041,CALIFORNIA,16001.0,14619,7042.0,4005.0,88.36116407619268,259605,6166,179.0,EL CENTRO,0.0,213514,58500,729.0,229390,34722.0,58500_20231231,88.36116407619268,0.0,0.03852005932089136,42.09205020920502,5.3867984554320785,MEDIUM,Community ($100M-$1B)
1,1.8097300597358625,20231231,44.12,297004,MISSISSIPPI,13020.0,25112,7292.0,5146.0,53.9482189764112,267627,118422,13424.0,KILMICHAEL,0.0,96765,9775,4751.0,144380,14382.0,9775_20231231,53.9482189764112,0.0,0.03736543771742014,41.03314388610658,4.3837793430391505,MEDIUM,Community ($100M-$1B)
1,2.755402339254934,20231231,26.69,296748,TEXAS,13717.0,29199,4790.0,7964.0,87.93325882644145,266642,15000,6930.0,LONGVIEW,0.0,200149,25752,899.0,234467,29986.0,25752_20231231,87.93325882644145,0.0,0.037503469070889056,32.77230432402846,4.622440589321579,MEDIUM,Community ($100M-$1B)
1,0.9879685793833646,20231231,10.46,296739,ILLINOIS,11855.0,14575,7802.0,2765.0,66.6567981052362,249952,76136,17667.0,CHESTER,16.825244609598585,132834,10844,2553.0,166610,28268.0,10844_20231231,66.6567981052362,16.825244609598585,0.040007681474843175,54.15047196002221,3.9950933311765557,LOW,Community ($100M-$1B)
1,0.8543004478658667,20231231,10.09,296653,ILLINOIS,12776.0,36480,6342.0,2429.0,98.13455121722026,251146,20358,14847.0,FORREST,12.462263327807346,181642,11669,828.0,246461,25135.0,11669_20231231,98.13455121722026,12.462263327807346,0.0398174766868674,46.61864157600706,4.306715253174585,LOW,Community ($100M-$1B)
1,0.7609151597492344,20231231,9.56,296385,SOUTH DAKOTA,12886.0,29056,6580.0,2126.0,82.50103814439106,252855,69360,7000.0,MARION,11.860580570829079,92931,9935,605.0,208608,24146.0,9935_20231231,82.50103814439106,11.860580570829079,0.03954835775444425,48.77325624490401,4.347723400307033,LOW,Community ($100M-$1B)
1,1.1487678956170195,20231231,13.86,295870,TENNESSEE,17035.0,17107,10023.0,3278.0,96.49130766845883,264486,13373,63412.0,LEXINGTON,11.466928510132682,168337,31272,3892.0,255206,25159.0,31272_20231231,96.49130766845883,11.466928510132682,0.03780918460712477,47.89506379318584,5.757596241592592,LOW,Community ($100M-$1B)
1,2.821323787574448,20231231,31.55,295862,LOUISIANA,14649.0,77880,8759.0,7891.0,80.53341817532805,257734,49249,14753.0,JONESVILLE,0.0,93122,10532,4639.0,207562,27197.0,10532_20231231,80.53341817532805,0.0,0.03879969270643377,45.411654914973035,4.951294860441693,MEDIUM,Community ($100M-$1B)
1,0.5174881586945013,20231231,7.6,295806,ILLINOIS,10303.0,24731,4998.0,1478.0,66.79827011815341,241635,109658,6816.0,CARLYLE,0.0,116136,14761,909.0,161408,21502.0,14761_20231231,66.79827011815341,0.0,0.04138473317193287,44.57723867285052,3.483026037335281,MEDIUM,Community ($100M-$1B)
1,0.8430764664171105,20231231,21.38,295680,MINNESOTA,12488.0,22751,8625.0,2454.0,55.030297805698936,278403,109972,8121.0,FARIBAULT,14.302953105621292,119689,1610,2809.0,153206,14020.0,1610_20231231,55.030297805698936,14.302953105621292,0.03591915317004487,56.3836046283585,4.223484848484849,LOW,Community ($100M-$1B)
1,0.3447631750608899,20231231,4.64,295609,OHIO,13069.0,24520,9354.0,945.0,108.42672732238725,223337,24913,10489.0,BUCYRUS,11.543316277365328,205896,29705,2795.0,242157,21871.0,29705_20231231,108.42672732238725,11.543316277365328,0.044775384284735625,58.963691376701966,4.421042661082715,MEDIUM,Community ($100M-$1B)
1,1.6924144500395015,20231231,18.6,295547,KENTUCKY,13704.0,14345,6988.0,4790.0,77.88216760465302,262797,56290,11876.0,IRVINGTON,17.086049202260618,178107,12149,1975.0,204672,28568.0,12149_20231231,77.88216760465302,17.086049202260618,0.03805218476618835,44.569168952101535,4.636825953232481,LOW,Community ($100M-$1B)
